"en","tr"
"Crude energy cells. Restores 15% Shield Integrity.","İlkel enerji hücreleri. %15 Kalkan Bütünlüğü yeniler."
"Crudely re-smelt bulk Steel into a Salvaged Alloy substitute. Wildly inefficient (8:1) — farming Heavy enemies is far better — but it guarantees you can never hard-lock.","Toplu Çeliği İlkel bir Kurtarılmış Alaşım yedeğine kabaca yeniden erit. Son derece verimsizdir (8:1) — Ağır düşmanları farmlamak çok daha iyidir — ancak asla tamamen kilitlenmemenizi garanti eder."
"Cryo Beam","Kriyo Işını"
"Cryo Lance","Kriyo Mızrağı"
"Cryo Shield","Kriyo Kalkanı"
"Cryo-Essence Condenser","Kriyo-Öz Yoğunlaştırıcı"
"Cryo-Pulse Drive","Kriyo-Darbe Sürücüsü"
"Cryo-Shield Matrix","Kriyo-Kalkan Matrisi"
"Cryo-Storage Array","Kriyo-Depolama Dizisi"
"Cryofield Core","Kriyosaha Çekirdeği"
"Cryogenic Armaments","Kriyojenik Silahlar"
"Cryogenic Coolant","Kriyojenik Soğutucu"
"Cryogenic Distillation","Kriyojenik Damıtma"
"Cryogenic Storage","Kriyojenik Depolama"
"Cryogenic Systems","Kriyojenik Sistemler"
"Cryptographic Cache","Kriptografik Zula"
"Cryptographic Decoder","Kriptografik Çözücü"
"Crystal Golem","Kristal Golem"
"Crystal resonating with void energy.","Hiçlik enerjisiyle rezonansa giren kristal."
"Crystalline Silicon dioxide. Source of Silicon.","Kristalize Silikon dioksit. Silikon kaynağı."
"Crystallize void essence around a quantum-core scaffold into a load-bearing lattice.","Bir kuantum-çekirdek iskelesi etrafında hiçlik özünü kristalleştirerek taşıyıcı bir kafese dönüştür."
"Culture pathogen samples around a quantum core into a self-sustaining bio-reactor.","Bir kuantum çekirdeği etrafında patojen örneklerini kendi kendini idame ettiren bir biyo-reaktöre dönüştür."
"Cut Focusing Crystal","Odaklama Kristali Kesimi"
"Cut a flawless diamond into a precision sensor lens and decode it into exotic research data.","Kusursuz bir elması hassas bir sensör merceğine kes ve onu egzotik araştırma verisine dönüştür."
"Cut silicate for lenses.","Lensler için silikat kes."
"Damped Plating","Sönümlü Kaplama"
"Debris Core","Enkaz Çekirdeği"
"Decipher the secrets of the artifact.","Eserin sırlarını çöz."
"Decode Encrypted Data","Şifrelenmiş Veriyi Çöz"
"Decrypt Nav-Data","Nav-Verisini Deşifre Et"
"Deep Core Optics","Derin Çekirdek Optikleri"
"Deep Space Navigation","Derin Uzay Navigasyonu"
"Deep Space Radar","Derin Uzay Radarı"
"Deep-Crust Drill","Derin-Kabuk Sondajı"
"Deep-void crystal extraction.","Derin hiçlik kristali çıkarımı."
"Deeper Roots","Daha Derin Kökler"
"Default (Bloom)","Varsayılan (Işıltı)"
"Defense Turret","Savunma Tareti"
"Deflector Shield","Saptırıcı Kalkan"
"Deforest Zone","Orman Temizle"
"Delta Core","Delta Çekirdeği"
"Delta Sector Survey","Delta Sektörü Taraması"
"Delta Sentinel Trophy","Delta Nöbetçisi Ganimeti"
"Dense clusters of tech from failed colonies. High in rare metals.","Başarısız kolonilerden gelen yoğun teknoloji kümeleri. Nadir metaller açısından zengin."
"Dense reactor core for capital ships.","Ana gemiler için yoğun reaktör çekirdeği."
"Dense, malleable, corrosion-resistant metal.","Yoğun, dövülebilir, korozyona dirençli metal."
"Densest material. Extreme HP and mass.","En yoğun malzeme. Ekstrem Can ve kütle."
"Densest naturally occurring element.","Doğada bulunan en yoğun element."
"Depleted Uranium Round","Seyreltilmiş Uranyum Mermisi"
"Derelict Frigate","Terk Edilmiş Fırkateyn"
"Derelict Salvage","Terk Edilmiş Hurda"
"Destroyer","Muhrip"
"Diamond","Elmas"
"Diamond Core Plate","Elmas Çekirdek Plakası"
"Diamond Sensor Lens","Elmas Sensör Merceği"
"Diamond Tipped Drills","Elmas Uçlu Matkaplar"
"Directly smelt Germanite ore for high-purity Germanium.","Yüksek saflıkta Germanyum için Germanit cevherini doğrudan erit."
"Dirt","Toprak"
"Dissolution Tyrant","Çözünme Tiranı"
"Dissolution Wraith","Çözünme Tayfı"
"Dissolve gold from soil using chemical solvents.","Topraktaki altını kimyasal çözücüler kullanarak çöz."
"Dolomite","Dolomit"
"Dolomite Calcination","Dolomit Kalsinasyonu"
"Dolomite Quarry","Dolomit Ocağı"
"Dope Silicon with Germanium for conductivity.","İletkenlik için Silikonu Germanyum ile zenginleştir."
"Dreadnought","Dretnot"
"Drone Recovery Bay","Dron Kurtarma Bölmesi"
"Dummy","Kukla"
"EMP Assault Drone","EMP Saldırı Dronu"
"EMP Commander","EMP Komutanı"
"EMP Generator Blueprint","EMP Jeneratörü Şeması"
"EMP Nexus","EMP Bağlantısı"
"EMP Overlord","EMP Derebeyi"
"Early Enrage","Erken Öfke"
"Efficiency I","Verimlilik I"
"Efficiency II","Verimlilik II"
"Efficiency III","Verimlilik III"
"Efficiency IV","Verimlilik IV"
"Efficiency V","Verimlilik V"
"Efficient Recipe","Verimli Tarif"
"Efficient Smelting","Verimli İzabe"
"Electronics Assembler","Elektronik Birleştirici"
"Emergency Auto-Repair I","Acil Oto-Tamir I"
"Emergency Auto-Repair II","Acil Oto-Tamir II"
"Emergency Auto-Repair III","Acil Oto-Tamir III"
"Emergency Auto-Repair IV","Acil Oto-Tamir IV"
"Emergency Hull Patch","Acil Gövde Yaması"
"Emergency Patch","Acil Yama"
"Encrypted coordinates to unknown sectors.","Bilinmeyen sektörlere şifrelenmiş koordinatlar."
"Energy Cells","Enerji Hücreleri"
"Energy Fields","Enerji Alanları"
"Energy Metrics","Enerji Metrikleri"
"Energy Wraith","Enerji Tayfı"
"Epsilon Core","Epsilon Çekirdeği"
"Epsilon Frontier Charter","Epsilon Sınırı Sözleşmesi"
"Essential for life and a source of Hydrogen/Oxygen.","Yaşam için elzem ve Hidrojen/Oksijen kaynağı."
"Evidence of Alpha dominance. Increases Research speed while held.","Alfa hakimiyetinin kanıtı. Elde tutulduğunda Araştırma hızını artırır."
"Evidence of Belt dominance. Increases all Mining yields while held.","Kuşak hakimiyetinin kanıtı. Elde tutulduğunda tüm Madencilik verimini artırır."
"Evidence of Beta dominance. Increases Infrastructure output while held.","Beta hakimiyetinin kanıtı. Elde tutulduğunda Altyapı çıktısını artırır."
"Evidence of Delta dominance. Boosts Kinetic Weapon damage while held.","Delta hakimiyetinin kanıtı. Elde tutulduğunda Kinetik Silah hasarını artırır."
"Evidence of Gamma dominance. Boosts Energy Weapon damage while held.","Gama hakimiyetinin kanıtı. Elde tutulduğunda Enerji Silahı hasarını artırır."
"Evidence of Lunar dominance. Level up Gathering faster while held.","Ay hakimiyetinin kanıtı. Elde tutulduğunda Toplama seviyesi daha hızlı artar."
"Evidence of Martian dominance. Reduces Processing heat buildup while held.","Mars hakimiyetinin kanıtı. Elde tutulduğunda İşleme ısı birikimini azaltır."
"Evidence of Titan dominance. Boosts Ship Speed in all sectors while held.","Titan hakimiyetinin kanıtı. Elde tutulduğunda tüm sektörlerde Gemi Hızını artırır."
"Evidence of Void dominance. Boosts ALL Ship Stats while held.","Hiçlik hakimiyetinin kanıtı. Elde tutulduğunda TÜM Gemi İstatistiklerini artırır."
"Evidence of Zeta dominance. Boosts Ship Evasion while held.","Zeta hakimiyetinin kanıtı. Elde tutulduğunda Gemi Kaçınmasını artırır."
"Excavate Germanite Deposits","Germanit Çökeltilerini Kaz"
"Excavate Soil","Toprak Kazı"
"Excellent conductor for electronics and energy weapons.","Elektronik ve enerji silahları için mükemmel iletken."
"Exoskeleton fragments from space mites. Used in basic repairs.","Uzay akarlarından dış iskelet parçaları. Temel onarımlarda kullanılır."
"Exotic Dampening","Egzotik Sönümleme"
"Exotic Isotope","Egzotik İzotop"
"Exotic Lens","Egzotik Mercek"
"Exotic Leviathan","Egzotik Leviathan"
"Exotic Matrix","Egzotik Matris"
"Exotic Matter","Egzotik Madde"
"Exotic Matter Analysis","Egzotik Madde Analizi"
"Exotic Metallurgy","Egzotik Metalürji"
"Exotic Research Artifact","Egzotik Araştırma Eseri"
"Exotic Shield Matrix","Egzotik Kalkan Matrisi"
"Experimental infinite energy containment.","Deneysel sonsuz enerji muhafazası."
"Exposing Pulse","Açığa Çıkarma Darbesi"
"Extract Aluminum from Bauxite ore using oxygen.","Oksijen kullanarak Boksit cevherinden Alüminyum çıkar."
"Extract Chromite","Kromit Çıkar"
"Extract Chrono Crystals","Krono Kristalleri Çıkar"
"Extract Lithium from raw Lithium Ore.","Ham Lityum Cevherinden Lityum çıkar."
"Extract Magnesium from Dolomite through heating.","Isıtma yoluyla Dolomitten Magnezyum çıkar."
"Extract Malachite","Malahit Çıkar"
"Extract Manganese","Manganez Çıkar"
"Extract Nitrogen from liquid Hydrogen/Oxygen mix.","Sıvı Hidrojen/Oksijen karışımından Azot çıkar."
"Extract Pentlandite","Pentlandit Çıkar"
"Extract Platinum samples","Platin örnekleri çıkar"
"Extract Zinc Ore","Çinko Cevheri Çıkar"
"Extract advanced components from colonial wreckage.","Koloni enkazından gelişmiş bileşenler çıkar."
"Extract pure Pt from asteroid samples.","Asteroit örneklerinden saf Pt çıkar."
"Extract trace Germanium from refined Silicon.","Arıtılmış Silikondan eser miktarda Germanyum çıkar."
"Extract valuable compounds from hazardous samples.","Tehlikeli örneklerden değerli bileşikler çıkar."
"Extracts cobalt from pentlandite sulfide — the co-metal to nickel, essential for superalloys.","Nikelin yan metali olan pentlandit sülfürden kobalt çıkarır — süperalaşımlar için elzemdir."
"Extremely durable armor plating.","Son derece dayanıklı zırh kaplaması."
"Extremely hard and dense metal. Ideal for armor penetration.","Son derece sert ve yoğun metal. Zırh delme için ideal."
"Fabricate Boost Card","Güçlendirme Kartı Üret"
"Fabricate an automated turret control core from circuits and structural alloy.","Devrelerden ve yapısal alaşımdan otomatik bir taret kontrol çekirdeği üret."
"Fabricate circuits from raw conductive materials. No Drone Core required.","Ham iletken malzemelerden devreler üret. Dron Çekirdeği gerektirmez."
"Factory Automation","Fabrika Otomasyonu"
"Faraday Hull","Faraday Gövdesi"
"Faraday Mesh","Faraday Ağı"
"Fe-Cr-Ni alloy. Superior corrosion resistance and strength.","Fe-Cr-Ni alaşımı. Üstün korozyon direnci ve gücü."
"Ferrite Rounds","Ferrit Mermileri"
"Fertile Soil","Verimli Toprak"
"Field Theory","Alan Teorisi"
"Firmware Hacking","Donanım Yazılımı Hackleme"
"Fission Reactor","Fisyon Reaktörü"
"Fleet Cruiser","Filo Kruvazörü"
"Fleet Destroyer","Filo Muhribi"
"Fleet Frigate","Filo Fırkateyni"
"Flux Capacitor","Akı Kapasitörü"
"Focus","Odak"
"Focus Crystal","Odak Kristali"
"Fold alloy scrap with nickel into superalloy stock.","Alaşım hurdasını nikel ile süperalaşım stoğuna katla."
"Forge salvaged combat alloy and scavenged circuitry into a Tier-1 reinforced hull plate — the cornerstone of early ship-frame upgrades.","Kurtarılan çatışma alaşımını ve toplanan devreleri Aşama-1 güçlendirilmiş gövde plakasına dönüştür — erken gemi-gövdesi yükseltmelerinin temel taşı."
"Fragment of a dead titan. Radiates immense power.","Ölü bir titan parçası. Devasa bir güç yayar."
"Frost Hulk","Buzul İri Kıyım"
"Frost Sentinel","Buzul Nöbetçisi"
"Fuel Cell Technology","Yakıt Hücresi Teknolojisi"
"Functioning device from a precursor civilization.","Öncü bir medeniyetten çalışan bir cihaz."
"Fuse Pristine Amethyst","Kusursuz Ametisti Kaynaştır"
"Fuse Pristine Cobalt","Kusursuz Kobaltı Kaynaştır"
"Fuse Pristine Crimson","Kusursuz Kızılı Kaynaştır"
"Fuse Pristine Topaz","Kusursuz Topazı Kaynaştır"
"Fuse Resonant Amethyst","Rezonanslı Ametisti Kaynaştır"
"Fuse Resonant Cobalt","Rezonanslı Kobaltı Kaynaştır"
"Fuse Resonant Crimson","Rezonanslı Kızılı Kaynaştır"
"Fuse Resonant Topaz","Rezonanslı Topazı Kaynaştır"
"Fuse Stable Amethyst","Kararlı Ametisti Kaynaştır"
"Fuse Stable Cobalt","Kararlı Kobaltı Kaynaştır"
"Fuse Stable Crimson","Kararlı Kızılı Kaynaştır"
"Fuse Stable Topaz","Kararlı Topazı Kaynaştır"
"Fuse aeon residuum with void essence into a primordial-grade alloy.","Eon kalıntısını hiçlik özüyle kaynaştırıp kadim derecede bir alaşıma dönüştür."
"Fusion Core","Füzyon Çekirdeği"
"Galvanized Steel","Galvanizli Çelik"
"Gamma Alloy","Gama Alaşımı"
"Gamma Beast","Gama Yaratığı"
"Gamma Core","Gama Çekirdeği"
"Gamma Ravager Trophy","Gama Yağmacısı Ganimeti"
"Gamma Sector Clearance","Gama Sektörü İzni"
"Gathering XP","Toplama TP"
"Gauss Cannon","Gauss Topu"
"Gauss Rifle","Gauss Tüfeği"
"Geothermal Well","Jeotermal Kuyu"
"Germanite Excavator","Germanit Kazıcı"
"Germanite Ore","Germanit Cevheri"
"Germanite Refining","Germanit Arıtımı"
"Germanium","Germanyum"
"Germanium Extraction","Germanyum Çıkarımı"
"Germanium Smelter","Germanyum İzabe Fırını"
"Germanium-doped Silicon wafer for high-speed logic.","Yüksek hızlı mantık için Germanyum katkılı Silikon levha."
"Glacial Drone","Buzul Dronu"
"Glacial Overseer","Buzul Gözetmeni"
"Glacier Belt","Buzul Kuşağı"
"Glacier Belt Expedition","Buzul Kuşağı Seferi"
"Gold","Altın"
"Gold Panning","Altın Yıkama"
"Gold Refinery","Altın Rafinerisi"
"Graphene Matrix Battery","Grafen Matris Bataryası"
"Graphite","Grafit"
"Graphite Press","Grafit Presi"
"Guided missile with logic circuits and a Hydrogen-fuelled sustainer motor.","Mantık devreleri ve Hidrojen yakıtlı sürekli motoru olan güdümlü füze."
"Guided missile with tracking chips. +25 Explosive Dmg.","İzleme çipli güdümlü füze. +25 Patlayıcı Hasarı."
"HAZARD: %s","TEHLİKE: %s"
"HE","Yüksek Patlayıcı"
"HE Missile","YP Füzesi"
"HE Missiles","YP Füzeleri"
"Harbinger's Bastion","Müjdecisi Kalesi"
"Harbinger's Fury","Müjdecisi Öfkesi"
"Harbinger's Veil","Müjdecisi Peçesi"
"Harbinger's Wrath","Müjdecisi Gazabı"
"Hard ferromagnetic metal used in superalloys.","Süperalaşımlarda kullanılan sert ferromanyetik metal."
"Hard metal used in stainless steel and plating.","Paslanmaz çelik ve kaplamada kullanılan sert metal."
"Hardened Hull","Sertleştirilmiş Gövde"
"Hardened Hulls","Sertleştirilmiş Gövdeler"
"Hardened Shield","Sertleştirilmiş Kalkan"
"Hardened alloy of Iron and Carbon.","Demir ve Karbonun sertleştirilmiş alaşımı."
"Harvest Nebula","Bulutsu Hasadı"
"Harvest Void Essence","Hiçlik Özü Hasadı"
"Heat-resistant alloy for engines and reactors.","Motorlar ve reaktörler için ısıya dayanıklı alaşım."
"Heavy","Ağır"
"Heavy Cruiser","Ağır Kruvazör"
"Heavy Missile","Ağır Füze"
"Heavy Ordnance Works","Ağır Mühimmat Fabrikası"
"Heavy Plasma Cell","Ağır Plazma Hücresi"
"Heavy Torpedo","Ağır Torpido"
"Heavy Tungsten Drill","Ağır Tungsten Matkap"
"Heavy kinetic penetrators.","Ağır kinetik deliciler."
"Heavy metal recovery.","Ağır metal geri kazanımı."
"Heavy radioactive metal. Very dense. Handle with care.","Ağır radyoaktif metal. Çok yoğun. Dikkatle taşıyın."
"Helium","Helyum"
"Helium Coolant Cell","Helyum Soğutucu Hücresi"
"High-Energy Cell Plant","Yüksek Enerji Hücresi Tesisi"
"High-Explosive ordinance. +50 Kinetic / +20 Energy Dmg.","Yüksek Patlayıcı mühimmat. +50 Kinetik / +20 Enerji Hasarı."
"High-Flow Pumps","Yüksek Akışlı Pompalar"
"High-RPM Centrifuges","Yüksek Devirli Santrifüjler"
"High-conductivity cables.","Yüksek iletkenliğe sahip kablolar."
"High-density advanced energy storage.","Yüksek yoğunluklu gelişmiş enerji depolama."
"High-efficiency Palladium-Hydrogen fuel cell.","Yüksek verimli Paladyum-Hidrojen yakıt hücresi."
"High-efficiency chemical catalyst. +15% Processing Speed.","Yüksek verimli kimyasal katalizör. +%15 İşlem Hızı."
"High-performance integrated circuit. Silver traces and tin solder for low-loss interconnects.","Yüksek performanslı entegre devre. Düşük kayıplı bağlantılar için gümüş yollar ve kalay lehim."
"High-performance integrated circuits.","Yüksek performanslı entegre devreler."
"High-power mechanical actuators.","Yüksek güçlü mekanik aktüatörler."
"High-precision logic unit. Requires nitrogen cooling for etching.","Yüksek hassasiyetli mantık ünitesi. Aşındırma için azot soğutması gerektirir."
"High-strength, low-density metal for advanced hulls.","Gelişmiş gövdeler için yüksek mukavemetli, düşük yoğunluklu metal."
"High-tech repair kit. Restores 50% Hull Integrity. Galvanised plating and zinc inhibitor resist corrosion.","Yüksek teknoloji tamir kiti. %50 Gövde Bütünlüğünü geri kazandırır. Galvanizli kaplama ve çinko inhibitörü korozyona direnir."
"High-yield thermobaric missile. +60 Explosive Dmg.","Yüksek verimli termobarik füze. +60 Patlayıcı Hasarı."
"High-yield thermobaric ordnance in a corrosion-resistant casing.","Korozyona dayanıklı kasada yüksek verimli termobarik mühimmat."
"Highly conductive precious metal used in advanced circuitry.","Gelişmiş devrelerde kullanılan yüksek iletkenliğe sahip değerli metal."
"Highly conductive precious metal.","Yüksek iletkenliğe sahip değerli metal."
"Highly unstable isotope harvested from nebulae. Essential for gamma tech.","Bulutsulardan toplanan son derece kararsız izotop. Gama teknolojisi için elzemdir."
"Hull Sealant","Gövde Dolgusu"
"Hull plating that repairs itself over time.","Zamanla kendini onaran gövde kaplaması."
"Hydraulic Press","Hidrolik Pres"
"Hydraulic Servo","Hidrolik Servo"
"Hydraulic System","Hidrolik Sistem"
"Hydro-Vortex Arrays","Hidro-Girdap Dizileri"
"Hydrogen","Hidrojen"
"Hydrogen Reactor","Hidrojen Reaktörü"
"Hyper","Hiper"
"Hyper-Velocity Slug","Hiper-Hızlı Mermi"
"Ice Wraith","Buz Tayfı"
"Improved Battery","Geliştirilmiş Batarya"
"Improvised Alloy (Fallback)","Doğaçlama Alaşım (Geri Çekilme)"
"Industrial Automation","Endüstriyel Otomasyon"
"Industrial Catalysis","Endüstriyel Kataliz"
"Industrial Centrifuge","Endüstriyel Santrifüj"
"Industrial Electrolysis","Endüstriyel Elektroliz"
"Industrial Electrolysis Plant","Endüstriyel Elektroliz Tesisi"
"Industrial Frigate","Endüstriyel Fırkateyn"
"Industrial Kiln","Endüstriyel Fırın"
"Industrial Logistics","Endüstriyel Lojistik"
"Industrial Memory","Endüstriyel Bellek"
"Industrial Pump","Endüstriyel Pompa"
"Industrial catalyst for chemical processing.","Kimyasal işleme için endüstriyel katalizör."
"Inert gas used for cooling and pressurization.","Soğutma ve basınçlandırma için kullanılan asal gaz."
"Infinite energy extraction from the void (Sort of).","Hiçlikten (Bir nevi) sonsuz enerji çıkarımı."
"Infuse supercooled helium-nitrogen with a Primordial Shard, condensing concentrated Cryo-Essence — the active medium of cryogenic armaments. The Shard's exotic resonance is what makes the essence bite Warp-Hardened hulls.","Aşırı soğutulmuş helyum-azotu bir Kadim Parça ile aşılayarak kriyojenik silahların aktif ortamı olan konsantre Kriyo-Öz'ü yoğunlaştır. Parçanın egzotik rezonansı, özün Warp-Sertleştirilmiş gövdeleri ısırmasını sağlayan şeydir."
"Integrated circuits required for automation and logic.","Otomasyon ve mantık için gereken entegre devreler."
"Ion Disruptor","İyon Bozucu"
"Ion Engine","İyon Motoru"
"Ion Field Projector","İyon Alanı Projektörü"
"Ion Lance","İyon Mızrağı"
"Ion-Exchange Membranes","İyon Değişim Membranları"
"Ir-W armor-piercing penetrator cores.","Ir-W zırh delici mermi çekirdekleri."
"Iridium","İridyum"
"Iridium Armor","İridyum Zırh"
"Iridium Armor Plating","İridyum Zırh Kaplaması"
"Iridium Drill","İridyum Matkap"
"Iridium Metallurgy","İridyum Metalürjisi"
"Iridium Plate","İridyum Plaka"
"Iridium-Tungsten Alloy","İridyum-Tungsten Alaşımı"
"Iron Plate","Demir Plaka"
"Iron chromium oxide. Primary source of Chromium.","Demir krom oksit. Ana Krom kaynağı."
"Iron-nickel sulfide mineral. Primary source of Nickel.","Demir-nikel sülfür minerali. Ana Nikel kaynağı."
"Kinetic Shells","Kinetik Mermiler"
"Kinetic Weapons Theory","Kinetik Silah Teorisi"
"Laminate omega plating over a neutronium plate with advanced circuitry.","Gelişmiş devrelerle bir nötronyum plaka üzerine omega kaplama lamine et."
"Laser Cutters","Lazer Kesiciler"
"Laser Optics","Lazer Optikleri"
"Lattice antimatter particles into a prismatic crystalline alloy.","Antimadde parçacıklarını prizmatik kristal alaşım içinde kafesle."
"Legendary armor forged from titan remains. Best-in-slot defense.","Titan kalıntılarından dövülmüş efsanevi zırh. Sınıfının en iyi savunması."
"Lenses for beam cohesion. +5 Energy Dmg per shot.","Işın bütünlüğü için lensler. Atış başına +5 Enerji Hasarı."
"Leviathan","Leviathan"
"Leviathan Engine","Leviathan Motoru"
"Leviathan's Crown","Leviathan'ın Tacı"
"Leviathan's Dominion","Leviathan'ın Hakimiyeti"
"Leviathan's Hide","Leviathan'ın Derisi"
"Leviathan's Maw","Leviathan'ın Ağzı"
"Lidar Array","Lidar Dizisi"
"Lightweight Alloys","Hafif Alaşımlar"
"Lightweight Magnesium-Ion battery.","Hafif Magnezyum-İyon batarya."
"Lightweight aerospace alloy. High strength-to-weight ratio.","Hafif havacılık alaşımı. Yüksek mukavemet-ağırlık oranı."
"Lightweight alternative to Li-ion. Fast charging.","Li-iyon bataryaya hafif bir alternatif. Hızlı şarj olur."
"Lightweight metal used in advanced batteries.","Gelişmiş bataryalarda kullanılan hafif metal."
"Lightweight metal used in aerospace construction.","Havacılık inşasında kullanılan hafif metal."
"Lightweight structural metal.","Hafif yapısal metal."
"Lightweight, high-strength aerospace alloy.","Hafif, yüksek mukavemetli havacılık alaşımı."
"Lithium","Lityum"
"Lithium Brine Well","Lityum Salamura Kuyusu"
"Lithium Extractor","Lityum Çıkarıcı"
"Lithium Ore","Lityum Cevheri"
"Lithium Refinery","Lityum Rafinerisi"
"Lithium-Cobalt Battery","Lityum-Kobalt Bataryası"
"Lithium-rich pyroxene mineral found in pegmatites.","Pegmatitlerde bulunan lityum açısından zengin piroksen minerali."
"Localized time-dilation field. While held: +30% ship attack speed in combat. Permanent passive — one is enough.","Lokalize zaman genişlemesi alanı. Elde tutulduğunda: Çatışmada gemi saldırı hızını %30 artırır. Kalıcı pasiftir — bir tane yeterlidir."
"Lunar Command Trophy","Ay Komutası Ganimeti"
"Lunar Core","Ay Çekirdeği"
"Lunar Drone","Ay Dronu"
"Lunar Orbit","Ay Yörüngesi"
"Mag-Lev Bearings","Mag-Lev Rulmanları"
"Magnesium","Magnezyum"
"Magnesium Battery","Magnezyum Bataryası"
"Magnesium source extraction.","Magnezyum kaynağı çıkarımı."
"Magnesium-Ion Battery","Magnezyum-İyon Bataryası"
"Magnesium-calcium carbonate. Source of Magnesium.","Magnezyum-kalsiyum karbonat. Magnezyum kaynağı."
"Magnetic Funnels","Manyetik Huniler"
"Malachite Ore","Malahit Cevheri"
"Manganese","Manganez"
"Manganese Dredge","Manganez Taraması"
"Manipulates local time flow. Grants massive combat speed boost.","Yerel zaman akışını manipüle eder. Devasa bir savaş hızı artışı sağlar."
"Mars Debris Clearance","Mars Enkazı Temizliği"
"Mars Debris Field","Mars Enkaz Alanı"
"Martian Sentry","Marslı Nöbetçi"
"Martian Sovereign Trophy","Marslı Hükümdar Ganimeti"
"Martian Warmaster","Marslı Savaş Ustası"
"Mass Driver Mk.I","Kütle Sürücü Mk.I"
"Mass produce iron slugs.","Demir mermi seri üretimi."
"Mass-produced kinetic ammunition. +25 Kinetic Dmg.","Seri üretilen kinetik mühimmat. +25 Kinetik Hasarı."
"Massively increases all production rates. Ultimate prestige item.","Tüm üretim hızlarını devasa oranda artırır. Nihai prestij eşyası."
"Material discovered in the field. Properties unknown.","Arazide keşfedilen materyal. Özellikleri bilinmiyor."
"Materials Science","Malzeme Bilimi"
"Matrix Core IV","Matris Çekirdeği IV"
"Matrix Synthesis","Matris Sentezi"
"Matter De-constructor","Madde Ayrıştırıcı"
"Matter composed entirely of neutrons. Extremely dense.","Tamamen nötronlardan oluşan madde. Son derece yoğun."
"Matter-disintegrating energy.","Madde-parçalayıcı enerji."
"Meltdown Colossus","Erime Devi"
"Merge Rare artifacts with advanced tech to unlock capital-class research.","Ana gemi sınıfı araştırmaların kilidini açmak için Nadir eserleri gelişmiş teknolojiyle birleştir."
"Mg-Ion Cell","Mg-İyon Hücresi"
"Micro-Missile Launcher","Mikro-Füze Fırlatıcı"
"Microchip","Mikroçip"
"Mine Cassiterite","Kassiterit Çıkar"
"Mine Iridium Crystals","İridyum Kristalleri Çıkar"
"Mine Lithium Ore","Lityum Madeni"
"Mineral Washing","Mineral Yıkama"
"Miniaturized semiconductor logic unit.","Küçültülmüş yarı iletken mantık ünitesi."
"Mining Golem","Madenci Golem"
"Mite Chitin","Akar Kitini"
"Mix polymer for rapid hull patching. Restores 35% Hull Integrity.","Hızlı gövde onarımı için polimer karıştır. Gövde Bütünlüğünün %35'ini yeniler."
"Molecular Compression","Moleküler Sıkıştırma"
"Molecular Disassembler","Moleküler Parçalayıcı"
"Molecular Fabricator","Moleküler Üretici"
"Molecular Printing","Moleküler Baskı"
"Molecular Recycling","Moleküler Geri Dönüşüm"
"Molecular-scale lattice from structural components and lightweight metals. Capital-grade fabrication.","Yapısal bileşenler ve hafif metallerden moleküler ölçekte kafes. Ana gemi sınıfı üretim."
"Molecular-scale lattice of Structural Components infused with lightweight metals. Required for capital-grade fabrication.","Hafif metallerle aşılanmış Yapısal Bileşenlerden oluşan moleküler ölçekte kafes. Ana gemi sınıfı üretim için gereklidir."
"Mono-Filament Wire","Mono-Filament Tel"
"Monolith's Barrier","Monolit'in Bariyeri"
"Monolith's Bedrock","Monolit'in Temeli"
"Monolith's Shatter","Monolit'in Parçalanması"
"Monolith's Shell","Monolit'in Kabuğu"
"Nanite Resurgence","Nanit Dirilişi"
"Nanite Syringe","Nanit Şırıngası"
"Nano-Substrate","Nano-Alt Tabaka"
"Nanoweave Mesh","Nano-Örgü Ağ"
"Navigation Data","Navigasyon Verisi"
"Nearly indestructible Ir plating. Ultimate defense.","Neredeyse yok edilemez Ir kaplaması. Nihai savunma."
"Nebula Phantom","Bulutsu Hayaleti"
"Neon Cyber-Deck","Neon Siber-Güverte"
"Neutron Slugger","Nötron Vurucusu"
"Neutronium","Nötronyum"
"Neutronium Condenser","Nötronyum Yoğunlaştırıcı"
"Neutronium Core","Nötronyum Çekirdeği"
"Neutronium Plate","Nötronyum Plakası"
"Neutronium Press","Nötronyum Presi"
"Neutronium Synthesis","Nötronyum Sentezi"
"Ni catalyst speeds H2 production. More efficient.","Ni katalizörü H2 üretimini hızlandırır. Daha verimli."
"Nickel","Nikel"
"Nickel Extraction","Nikel Çıkarımı"
"Nickel Mine","Nikel Madeni"
"Nickel Refinery","Nikel Rafinerisi"
"Nickel-Catalyzed Electrolysis","Nikel Katalizli Elektroliz"
"Nitrogen","Azot"
"Nuclear Fuel","Nükleer Yakıt"
"Null Sentinel","Hiçlik Nöbetçisi"
"Omega Accelerator","Omega Hızlandırıcı"
"Omega Battery","Omega Bataryası"
"Omega Cannon","Omega Topu"
"Omega Core","Omega Çekirdeği"
"Omega Forge","Omega Ocağı"
"Omega Foundry","Omega Dökümhanesi"
"Omega Plating","Omega Kaplama"
"Omega Sentinel","Omega Nöbetçisi"
"Omega-class production core. While held: +50% gathering yield and +50% infrastructure yield. Permanent passive — one is enough.","Omega sınıfı üretim çekirdeği. Elde tutulduğunda: +%50 toplama verimi ve +%50 altyapı verimi. Kalıcı pasiftir — bir tane yeterlidir."
